identifier,tag,param_size,required_gb,pulls,capabilities,purposes,description
sailor2,sailor2:20b,20b,13.0,408.3K,,general,"Sailor2 are multilingual language models made for South-East Asia. Available in 1B, 8B, and 20B parameter sizes."
ornith,ornith:9b,9b,6.4,401.2K,tools,coding|general,A self-improving family of open-source models for agentic coding
ornith,ornith:35b,35b,22.0,401.2K,tools,coding|general,A self-improving family of open-source models for agentic coding
tulu3,tulu3:8b,8b,5.8,386.3K,,coding|general,"Tülu 3 is a leading instruction following model family, offering fully open-source data, code, and recipes by the The Allen Institute for AI."
tulu3,tulu3:70b,70b,43.0,386.3K,,coding|general,"Tülu 3 is a leading instruction following model family, offering fully open-source data, code, and recipes by the The Allen Institute for AI."
deepseek-v4-flash,deepseek-v4-flash,default,4.0,383.5K,tools|thinking|cloud,general|reasoning,"DeepSeek-V4-Flash is a preview of the DeepSeek-V4 series, a Mixture-of-Experts model with 284B total parameters and 13B activated, built for efficient reasoning across a 1M-token context window."
dbrx,dbrx:132b,132b,80.2,363.1K,,general,"DBRX is an open, general-purpose LLM created by Databricks."
granite4.1,granite4.1:3b,3b,2.8,358K,tools,coding|general,"IBM Granite Models are a family of enterprise-ready, open foundation models that support multilingual capabilities, coding, retrieval-augmented generation (RAG), tool use, and structured JSON output. Released under Apache 2.0 license."
granite4.1,granite4.1:8b,8b,5.8,358K,tools,coding|general,"IBM Granite Models are a family of enterprise-ready, open foundation models that support multilingual capabilities, coding, retrieval-augmented generation (RAG), tool use, and structured JSON output. Released under Apache 2.0 license."
granite4.1,granite4.1:30b,30b,19.0,358K,tools,coding|general,"IBM Granite Models are a family of enterprise-ready, open foundation models that support multilingual capabilities, coding, retrieval-augmented generation (RAG), tool use, and structured JSON output. Released under Apache 2.0 license."
granite-embedding,granite-embedding,default,4.0,355.1K,,embedding,"The IBM Granite Embedding 30M and 278M models models are text-only dense biencoder embedding models, with 30M available in English only and 278M serving multilingual use cases. embedding 30m 278m"
devstral-2,devstral-2:123b,123b,74.8,352.1K,tools,coding|general,"123B model that excels at using tools to explore codebases, editing multiple files and power software engineering agents."
deepseek-v4-pro,deepseek-v4-pro,default,4.0,346.8K,tools|thinking|cloud,general|reasoning,DeepSeek-V4-Pro is a frontier Mixture-of-Experts model with a large context window and three reasoning modes.
mistral-medium-3.5,mistral-medium-3.5:128b,128b,77.8,345.3K,vision|tools|thinking,coding|general|reasoning|vision,"Mistral Medium 3.5 is the first flagship model of Mistral AI that merged instruction-following, reasoning, and coding in a single set of 128B weights."
granite3-guardian,granite3-guardian:2b,2b,2.2,331.9K,,general,The IBM Granite Guardian 3.0 2B and 8B models are designed to detect risks in prompts and/or responses.
granite3-guardian,granite3-guardian:8b,8b,5.8,331.9K,,general,The IBM Granite Guardian 3.0 2B and 8B models are designed to detect risks in prompts and/or responses.
glm-5.2,glm-5.2,default,4.0,324.2K,tools|thinking|cloud,general|reasoning,GLM-5.2 is Z.ai’s flagship model for the era of long-horizon tasks.
llava-phi3,llava-phi3:3.8b,3.8b,3.28,307.1K,vision,general|vision,A new small LLaVA model fine-tuned from Phi 3 Mini.
command-r7b,command-r7b:7b,7b,5.2,296K,tools,general,"The smallest model in Cohere's R series delivers top-tier speed, efficiency, and quality to build powerful AI applications on commodity GPUs and edge devices."
medgemma,medgemma:4b,4b,3.4,294.1K,vision,general|vision,MedGemma is a collection of Gemma 3 variants that are trained for performance on medical text and image comprehension.
medgemma,medgemma:27b,27b,17.2,294.1K,vision,general|vision,MedGemma is a collection of Gemma 3 variants that are trained for performance on medical text and image comprehension.
phi4-mini-reasoning,phi4-mini-reasoning:3.8b,3.8b,3.28,289.9K,,general|reasoning,Phi 4 mini reasoning is a lightweight open model that balances efficiency with advanced reasoning ability.
deepseek-v2.5,deepseek-v2.5:236b,236b,142.6,285.7K,,coding|general,An upgraded version of DeekSeek-V2 that integrates the general and coding abilities of both DeepSeek-V2-Chat and DeepSeek-Coder-V2-Instruct.
olmo-3.1,olmo-3.1:32b,32b,20.2,285.7K,tools|thinking,general|reasoning,Olmo is a series of Open language models designed to enable the science of language models. These models are pre-trained on the Dolma 3 dataset and post-trained on the Dolci datasets.
bge-large,bge-large,default,4.0,280.8K,,general,Embedding model from BAAI mapping texts to vectors. embedding 335m
smallthinker,smallthinker:3b,3b,2.8,255.9K,,general|reasoning,A new small reasoning model fine-tuned from the Qwen 2.5 3B Instruct model.
alfred,alfred:40b,40b,25.0,238.2K,,general,A robust conversational model designed to be used for both chat and instruct use cases.
command-a,command-a:111b,111b,67.6,225K,tools,general,"111 billion parameter model optimized for demanding enterprises that require fast, secure, and high-quality AI"
kimi-k2.7-code,kimi-k2.7-code,default,4.0,220.9K,vision|tools|thinking|cloud,coding|general|reasoning|vision,"Kimi K2.7 Code is Moonshot AI's coding-focused agentic model built upon Kimi K2.6, with substantial improvements on real-world long-horizon coding tasks and roughly 30% lower thinking-token usage."
cogito-2.1,cogito-2.1:671b,671b,403.6,220.8K,,general,The Cogito v2.1 LLMs are instruction tuned generative models. All models are released under MIT license for commercial use.
marco-o1,marco-o1:7b,7b,5.2,210.3K,,general|reasoning,An open large reasoning model for real-world solutions by the Alibaba International Digital Commerce Group (AIDC-AI).
command-r7b-arabic,command-r7b-arabic:7b,7b,5.2,201.2K,tools,general,A new state-of-the-art version of the lightweight Command R7B model that excels in advanced Arabic language capabilities for enterprises in the Middle East and Northern Africa.
functiongemma,functiongemma,default,4.0,182.5K,,general,FunctionGemma is a specialized version of Google's Gemma 3 270M model fine-tuned explicitly for function calling. tools 270m
muse-glimmer,muse-glimmer:30b,30b,19.0,152.5K,vision|tools|thinking,general|reasoning|vision,"Meta's latest open model built for always-on local agents. 30B parameters, licensed under Apache 2.0 and runs on a single GPU — tuned for tool use, long tasks, and failure recovery."
gpt-oss-safeguard,gpt-oss-safeguard:20b,20b,13.0,152K,tools|thinking,general|reasoning,gpt-oss-safeguard-20b and gpt-oss-safeguard-120b are safety reasoning models built-upon gpt-oss
gpt-oss-safeguard,gpt-oss-safeguard:120b,120b,73.0,152K,tools|thinking,general|reasoning,gpt-oss-safeguard-20b and gpt-oss-safeguard-120b are safety reasoning models built-upon gpt-oss
nemotron-cascade-2,nemotron-cascade-2:30b,30b,19.0,142.8K,tools|thinking,general|reasoning,An open 30B MoE model from NVIDIA with 3B activated parameters that delivers strong reasoning and agentic capabilities.
medgemma1.5,medgemma1.5:4b,4b,3.4,138.1K,vision,general|vision,MedGemma 1.5 4B is an updated version of the MedGemma 4B model.
lfm2.5,lfm2.5:8b,8b,5.8,120.2K,tools|thinking,general|reasoning,"LFM2.5-8B-A1B, an edge model built for fast, reliable tool calling on consumer hardware."
laguna-s-2.1,laguna-s-2.1,default,4.0,96.7K,tools|thinking,general|reasoning,"Our most capable model to date, designed for long-horizon work. 70.2% on Terminal-Bench 2.1 at 118B-A8B."
laguna-xs-2.1,laguna-xs-2.1,default,4.0,95K,tools|thinking,coding|general|reasoning,Laguna XS 2.1 is a 33B total parameter Mixture-of-Experts model with 3B activated parameters per token designed for agentic coding and long-horizon work on a local machine.
mistral-large-3,mistral-large-3,default,4.0,92.8K,vision|tools|cloud,general|vision,A general-purpose multimodal mixture-of-experts model for production-grade tasks and enterprise workloads.
nemotron-3.5-lightning,nemotron-3.5-lightning:30b,30b,19.0,71.3K,tools|thinking,general|reasoning,NVIDIA Nemotron 3.5 Lightning is an open 30B mixture-of-experts (MoE) model with 3B active parameters built for always-on agents.
nemotron-3-ultra,nemotron-3-ultra,default,4.0,54K,tools|thinking|cloud,general|reasoning,NVIDIA Nemotron 3 Ultra is built for high-throughput reasoning and long-running agent workflows.
kimi-k3,kimi-k3,default,4.0,45.3K,vision|tools|thinking|cloud,general|reasoning|vision,"Kimi K3 is an open-weight, native multimodal agentic model and our most capable model to date."
north-mini-code-1.0,north-mini-code-1.0,default,4.0,43.3K,tools|thinking,coding|general|reasoning,"North Mini Code is Cohere's first model for developers — a 30B Mixture-of-Experts model with 3B active parameters, built for agentic software engineering."
minicpm-v4.6,minicpm-v4.6:1b,1b,1.6,36.1K,vision,general|vision,A Pocket-Sized MLLM for Ultra-Efficient Image and Video Understanding on Your Phone
minicpm-v4.5,minicpm-v4.5:8b,8b,5.8,28.2K,vision,general|vision,"A GPT-4o Level MLLM for Single Image, Multi Image and High-FPS Video Understanding on Your Phone"
laguna-xs.2,laguna-xs.2,default,4.0,26.1K,tools|thinking,coding|general|reasoning,Laguna XS.2 is a 33B total parameter Mixture-of-Experts model with 3B activated parameters per token designed for agentic coding and long-horizon work on a local machine.
ornith-1.5,ornith-1.5:9b,9b,6.4,11.8K,vision,general|vision,"Chirp Chirp! 🐦 We are introducing Ornith-1.5, a major step toward building foundation models through end-to-end self-improvement."
ornith-1.5,ornith-1.5:35b,35b,22.0,11.8K,vision,general|vision,"Chirp Chirp! 🐦 We are introducing Ornith-1.5, a major step toward building foundation models through end-to-end self-improvement."
ornith-1.5,ornith-1.5:397b,397b,239.2,11.8K,vision,general|vision,"Chirp Chirp! 🐦 We are introducing Ornith-1.5, a major step toward building foundation models through end-to-end self-improvement."
granite4.1-guardian,granite4.1-guardian:8b,8b,5.8,10.6K,tools|thinking,general|reasoning,Granite Guardian 4.1 is a specialized safety and judging model from IBM Research that evaluates whether LLM prompts and responses meet specified harm criteria.
